commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
"Donnez-nous la ligne d'abord, ensuite c’est facile. Ça fait deux mois et toujours rien;","Donnez-nous la ligne d'abord, ensuite c’est facile. Ça fait deux mois et toujours rien","Donnez-nous la ligne d'abord, ensuite c’est facile. Ça fait deux mois et toujours rien",donnez nous ligne ensuite facile mois rien,donnez -nous ligne ensuite facile mois rien,neutre,
"J’ai un modem 4G, mais la vitesse est de seulement 0.5 Mbps;","J’ai un modem 4G, mais la vitesse est de seulement 0.5 Mbps","J’ai un modem 4G, mais la vitesse est de seulement 0.5 Mbps",modem 4 gramme vitesse 0.5 mbps,modem 4 g vitesse 0.5 mbps,négatif,problème réseau
Quels sont les tarifs des conventions ?;,Quels sont les tarifs des conventions ?,Quels sont les tarifs des conventions ?,tarif convention,tarifs conventions,positif,
Donnez-moi leur numéro de téléphone s’il vous plaît;,Donnez-moi leur numéro de téléphone s’il vous plaît,Donnez-moi leur numéro de téléphone s’il vous plaît,donnez moi numéro téléphone plaire,donnez -moi numéro téléphone plaît,positif,
"Tindouf, quartier Ennasr : toujours rien;","Tindouf, quartier Ennasr : toujours rien","Tindouf, quartier Ennasr : toujours rien",tindouf quartier ennasr rien,tindouf quartier ennasr rien,neutre,
"Oran, centre-ville, c’est pour quand ?!!;","Oran, centre-ville, c’est pour quand ?!!","Oran, centre-ville, c’est pour quand ?!!",oran centre ville,oran centre ville,négatif,infrastructure
"À Oran, nous sommes encore avec l’ADSL;","À Oran, nous sommes encore avec l’ADSL","À Oran, nous sommes encore avec l’ADSL",oran être adsl,oran sommes adsl,positif,
Débit de 50 Mbps qui n’atteint même pas 10 ou 12 Mbps;,Débit de 50 Mbps qui n’atteint même pas 10 ou 12 Mbps,Débit de 50 Mbps qui n’atteint même pas 10 ou 12 Mbps,débit 50 mbps atteindre 10 12 mbps,débit 50 mbps atteint 10 12 mbps,négatif,problème réseau
"De grands quartiers dans la daïra de Cheria, wilaya de Tébessa, privés d’internet depuis plus d’un mois et demi sans aucune réparation. Nous demandons une intervention urgente et dénonçons ce mépris des clients.;","De grands quartiers dans la daïra de Cheria, wilaya de Tébessa, privés d’internet depuis plus d’un mois et demi sans aucune réparation. Nous demandons une intervention urgente et dénonçons ce mépris des clients.","De grands quartiers dans la daïra de Cheria, wilaya de Tébessa, privés d’internet depuis plus d’un mois et demi sans aucune réparation. Nous demandons une intervention urgente et dénonçons ce mépris des clients.",grand quartier daïra cheria wilaya tébessa priver internet mois demi aucun réparation demander intervention urgent dénonçon mépris client,grands quartiers daïra cheria wilaya tébessa privés internet mois demi aucune réparation demandons intervention urgente dénonçons mépris clients,négatif,problème réseau
"Installez-nous au moins le fixe, c’est facile, il ne faut qu’un câble;","Installez-nous au moins le fixe, c’est facile, il ne faut qu’un câble","Installez-nous au moins le fixe, c’est facile, il ne faut qu’un câble",installer nous fixe facile falloir câble,installez -nous fixe facile faut câble,positif,
"À Sétif, en plein centre-ville, il n’y a rien. Votre projet n’existe que sur les sites web;","À Sétif, en plein centre-ville, il n’y a rien. Votre projet n’existe que sur les sites web","À Sétif, en plein centre-ville, il n’y a rien. Votre projet n’existe que sur les sites web",sétif plein centre ville rien projet exister site web,sétif plein centre ville rien projet existe sites web,neutre,
"Quand la wilaya de Sétif sera-t-elle raccordée à la fibre ? Il y a une volonté manifeste de bloquer certains quartiers. Le rythme est très lent, les projets non finalisés.;","Quand la wilaya de Sétif sera-t-elle raccordée à la fibre ? Il y a une volonté manifeste de bloquer certains quartiers. Le rythme est très lent, les projets non finalisés.","Quand la wilaya de Sétif sera-t-elle raccordée à la fibre ? Il y a une volonté manifeste de bloquer certains quartiers. Le rythme est très lent, les projets non finalisés.",wilaya sétif -t lui raccorder fibre volonté manifeste bloquer quartier rythme lent projet non finaliser,wilaya sétif -t -elle raccordée fibre volonté manifeste bloquer quartiers rythme lent projets non finalisés,négatif,problème réseau
Services très médiocres malgré les plaintes répétées. Rien ne change.;,Services très médiocres malgré les plaintes répétées. Rien ne change.,Services très médiocres malgré les plaintes répétées. Rien ne change.,service médiocre plainte répéter rien change,services médiocres plaintes répétées rien change,négatif,problème réseau
"Allez voir à El Tarf, surtout à Aïn El Assel : c’est la catastrophe chez Algérie Télécom;","Allez voir à El Tarf, surtout à Aïn El Assel : c’est la catastrophe chez Algérie Télécom","Allez voir à El Tarf, surtout à Aïn El Assel : c’est la catastrophe chez Algérie Télécom",aller voir el tarf aïn el assel catastrophe algérie télécom,allez voir el tarf aïn el assel catastrophe algérie télécom,négatif,problème réseau
Il reste 43.7 millions de citoyens sans ce service. Quelle est leur position ? Sont-ils moins Algériens ?;,Il reste 43.7 millions de citoyens sans ce service. Quelle est leur position ? Sont-ils moins Algériens ?,Il reste 43.7 millions de citoyens sans ce service. Quelle est leur position ? Sont-ils moins Algériens ?,43.7 million citoyen service position il algérien,43.7 millions citoyens service position -ils algériens,négatif,problème réseau
"Nous attendons encore et toujours, en vain. Malheureusement.;","Nous attendons encore et toujours, en vain. Malheureusement.","Nous attendons encore et toujours, en vain. Malheureusement.",attendre vain malheureusement,attendons vain malheureusement,négatif,autre
"Chéraga, devant le tribunal, pas de couverture !;","Chéraga, devant le tribunal, pas de couverture !","Chéraga, devant le tribunal, pas de couverture !",chéraga tribunal couvertur,chéraga tribunal couverture,négatif,problème réseau
"1.3 million et toujours rien avec vous. Nous souffrons avec l’ADSL, regardez un peu notre cas.;","1.3 million et toujours rien avec vous. Nous souffrons avec l’ADSL, regardez un peu notre cas.","1.3 million et toujours rien avec vous. Nous souffrons avec l’ADSL, regardez un peu notre cas.",1.3 million rien souffrir adsl regarder cas,1.3 million rien souffrons adsl regardez cas,négatif,problème réseau
"Bechar El Jadid, deuxième plus grand quartier de Bechar, non raccordé, non programmé pour 2024.;","Bechar El Jadid, deuxième plus grand quartier de Bechar, non raccordé, non programmé pour 2024.","Bechar El Jadid, deuxième plus grand quartier de Bechar, non raccordé, non programmé pour 2024.",bechar el jadid grand quartier bechar non raccorder non programmer 2024,bechar el jadid grand quartier bechar non raccordé non programmé 2024,neutre,
"Ajoutez simplement du réseau, le nombre de raccordements n’est pas important.;","Ajoutez simplement du réseau, le nombre de raccordements n’est pas important.","Ajoutez simplement du réseau, le nombre de raccordements n’est pas important.",ajouter simplement réseau nombre raccordement important,ajoutez simplement réseau nombre raccordements important,positif,
"Nous sommes au centre-ville de M’Sila, à quelques mètres du centre de distribution, et toujours pas de fibre !;","Nous sommes au centre-ville de M’Sila, à quelques mètres du centre de distribution, et toujours pas de fibre !","Nous sommes au centre-ville de M’Sila, à quelques mètres du centre de distribution, et toujours pas de fibre !",être centre ville sila mètre centre distribution fibre,sommes centre ville sila mètres centre distribution fibre,neutre,
"Pas de raccordement jusqu’à présent, alors que l’entrepreneur a terminé son travail depuis presque un an.;","Pas de raccordement jusqu’à présent, alors que l’entrepreneur a terminé son travail depuis presque un an.","Pas de raccordement jusqu’à présent, alors que l’entrepreneur a terminé son travail depuis presque un an.",raccordement jusqu’ présent entrepreneur terminer travail presque an,raccordement jusqu’ présent entrepreneur terminé travail presque an,neutre,
"On en a marre d’entendre les mêmes choses. À Ouled Moussa, Boumerdes, seule une petite zone a la fibre. Le reste c’est de l’ADSL faible.;","On en a marre d’entendre les mêmes choses. À Ouled Moussa, Boumerdes, seule une petite zone a la fibre. Le reste c’est de l’ADSL faible.","On en a marre d’entendre les mêmes choses. À Ouled Moussa, Boumerdes, seule une petite zone a la fibre. Le reste c’est de l’ADSL faible.",marre entendre chose ouled moussa boumerdes petit zone fibre adsl faible,marre entendre choses ouled moussa boumerdes petite zone fibre adsl faible,négatif,problème réseau
"Nous, les abonnés ADSL… C’est pour quand la fibre optique ?;","Nous, les abonnés ADSL… C’est pour quand la fibre optique ?","Nous, les abonnés ADSL… C’est pour quand la fibre optique ?",abonné adsl fibre optique,abonnés adsl fibre optique,négatif,problème réseau
"Khenchela, quartier Ennasr !!!!!;","Khenchela, quartier Ennasr !!!!!","Khenchela, quartier Ennasr !!!!!",khenchela quartier ennasr,khenchela quartier ennasr,négatif,infrastructure
Pourquoi couper la ligne internet des clients de manière abusive pour les forcer à passer à la fibre ? C’est ce qui se passe à Naâma.;,Pourquoi couper la ligne internet des clients de manière abusive pour les forcer à passer à la fibre ? C’est ce qui se passe à Naâma.,Pourquoi couper la ligne internet des clients de manière abusive pour les forcer à passer à la fibre ? C’est ce qui se passe à Naâma.,couper ligne internet client manière abusif forcer passer fibre passer naâma,couper ligne internet clients manière abusive forcer passer fibre passe naâma,négatif,problème réseau
Nous sommes au centre du pays et nous n’avons rien.;,Nous sommes au centre du pays et nous n’avons rien.,Nous sommes au centre du pays et nous n’avons rien.,être centre pays rien,sommes centre pays rien,neutre,
La majorité des foyers n’ont pas la fibre.;,La majorité des foyers n’ont pas la fibre.,La majorité des foyers n’ont pas la fibre.,majorité foyer fibre,majorité foyers fibre,neutre,
"J’ai un modem depuis 10 mois, mais toujours pas connecté.;","J’ai un modem depuis 10 mois, mais toujours pas connecté.","J’ai un modem depuis 10 mois, mais toujours pas connecté.",modem 10 mois connecter,modem 10 mois connecté,neutre,
"Malheureusement à Tilato, Batna : la moitié des habitants ne sont toujours pas raccordés, et on ne connaît pas la raison.;","Malheureusement à Tilato, Batna : la moitié des habitants ne sont toujours pas raccordés, et on ne connaît pas la raison.","Malheureusement à Tilato, Batna : la moitié des habitants ne sont toujours pas raccordés, et on ne connaît pas la raison.",malheureusement tilato batna moitié habitant raccorder connaître raison,malheureusement tilato batna moitié habitants raccordés connaît raison,négatif,problème réseau
"Réduisez les prix, c’est trop cher. Faites au moins un abonnement à 1000 DA/mois.;","Réduisez les prix, c’est trop cher. Faites au moins un abonnement à 1000 DA/mois.","Réduisez les prix, c’est trop cher. Faites au moins un abonnement à 1000 DA/mois.",réduisez prix trop cher faites abonnemer 1000 mois,réduisez prix trop cher faites abonnement 1000 mois,négatif,facturation
"Malheureusement, en toute objectivité, vos services ne sont même pas au niveau moyen. Mais nous espérons une amélioration de vos technologies, services et débits. Bonne chance.;","Malheureusement, en toute objectivité, vos services ne sont même pas au niveau moyen. Mais nous espérons une amélioration de vos technologies, services et débits. Bonne chance.","Malheureusement, en toute objectivité, vos services ne sont même pas au niveau moyen. Mais nous espérons une amélioration de vos technologies, services et débits. Bonne chance.",malheureusement objectivité service niveau moyen espérer amélioration technologie service débit bon chance,malheureusement objectivité services niveau moyen espérons amélioration technologies services débits bonne chance,négatif,problème réseau
